VC707 complete PicoRV32 + DMA/IOMMU + AXI RAM + MIG DDR3 implementation
Part              : xc7vx485tffg1761-2
Synthesis status  : synth_design Complete!
Implementation    : write_bitstream Complete!
Post-route WNS    : 0.070 ns
Post-route WHS    : 0.045 ns
Timing failures   : 0 setup, 0 hold, 0 pulse-width
Bus-skew worst    : 4.443 ns slack (MET)
DRC errors        : 0
DRC critical warn : 0
DSP total SoC     : 16 (systolic accelerator: 16)
DSP MIG/DDR path  : 0
Firmware          : firmware/prebuilt/vc707_ddr3/soc_ddr3_test.hex
Board validation  : run firmware and capture UART after programming
